Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,http://data.bioontology.org/metadata/prefixIRI,http://purl.org/dc/terms/contributor,http://purl.org/dc/terms/description,http://purl.org/dc/terms/rights,http://purl.org/dc/terms/title,http://purl.org/pav/createdOn,http://purl.org/pav/lastUpdatedOn,http://purl.org/pav/version,http://www.w3.org/2004/02/skos/core#broader,http://www.w3.org/2004/02/skos/core#definition,http://www.w3.org/2004/02/skos/core#hasTopConcept,http://www.w3.org/2004/02/skos/core#inScheme,http://www.w3.org/2004/02/skos/core#narrower,http://www.w3.org/2004/02/skos/core#prefLabel,http://www.w3.org/2004/02/skos/core#topConceptOf
http://purl.org/datacite/v4.4/EISSN,EISSN,,,false,,,http://purl.org/datacite/v4.4/RelatedIdentifierType,,,,,,,,,http://purl.org/datacite/v4.4/RelatedIdentifierType,,,http://purl.org/datacite/v4.4,,EISSN,
http://purl.org/datacite/v4.4/Book,Book,,,false,,,http://purl.org/datacite/v4.4/ResourceTypeGeneral,,,,,,,,,http://purl.org/datacite/v4.4/ResourceTypeGeneral,,,http://purl.org/datacite/v4.4,,Book,
http://purl.org/datacite/v4.4/Describes,Describes,,,false,,,http://purl.org/datacite/v4.4/RelationType,,,,,,,,,http://purl.org/datacite/v4.4/RelationType,,,http://purl.org/datacite/v4.4,,Describes,
http://purl.org/datacite/v4.4/TitleType,Title Type,,,false,,,,,,,,,,,,,,,http://purl.org/datacite/v4.4,http://purl.org/datacite/v4.4/Subtitle|http://purl.org/datacite/v4.4/TranslatedTitle|http://purl.org/datacite/v4.4/AlternativeTitle|http://purl.org/datacite/v4.4/OtherTitle,Title Type,http://purl.org/datacite/v4.4
http://purl.org/datacite/v4.4/ResourceTypeGeneral,Resource Type General,,This is a set of controlled terms from DataCite/DCMI for the category of resource being described.,false,,,,,,,,,,,,,This is a set of controlled terms from DataCite/DCMI for the category of resource being described.,,http://purl.org/datacite/v4.4,http://purl.org/datacite/v4.4/Book|http://purl.org/datacite/v4.4/InteractiveResource|http://purl.org/datacite/v4.4/BookChapter|http://purl.org/datacite/v4.4/Model|http://purl.org/datacite/v4.4/Standard|http://purl.org/datacite/v4.4/Dataset|http://purl.org/datacite/v4.4/Dissertation|http://purl.org/datacite/v4.4/OutputManagementPlan|http://purl.org/datacite/v4.4/Event|http://purl.org/datacite/v4.4/PeerReview|http://purl.org/datacite/v4.4/Journal|http://purl.org/datacite/v4.4/Other|http://purl.org/datacite/v4.4/Text|http://purl.org/datacite/v4.4/PhysicalObject|http://purl.org/datacite/v4.4/ConferencePaper|http://purl.org/datacite/v4.4/Report|http://purl.org/datacite/v4.4/Collection|http://purl.org/datacite/v4.4/Image|http://purl.org/datacite/v4.4/Audiovisual|http://purl.org/datacite/v4.4/Workflow|http://purl.org/datacite/v4.4/Service|http://purl.org/datacite/v4.4/JournalArticle|http://purl.org/datacite/v4.4/Sound|http://purl.org/datacite/v4.4/ComputationalNotebook|http://purl.org/datacite/v4.4/Software|http://purl.org/datacite/v4.4/DataPaper|http://purl.org/datacite/v4.4/ConferenceProceeding|http://purl.org/datacite/v4.4/Preprint,Resource Type General,http://purl.org/datacite/v4.4
http://purl.org/datacite/v4.4/Sponsor,Sponsor,,,false,,,http://purl.org/datacite/v4.4/ContributorType,,,,,,,,,http://purl.org/datacite/v4.4/ContributorType,,,http://purl.org/datacite/v4.4,,Sponsor,
http://purl.org/datacite/v4.4/Compiles,Compiles,,,false,,,http://purl.org/datacite/v4.4/RelationType,,,,,,,,,http://purl.org/datacite/v4.4/RelationType,,,http://purl.org/datacite/v4.4,,Compiles,
http://purl.org/datacite/v4.4/RightsHolder,RightsHolder,,,false,,,http://purl.org/datacite/v4.4/ContributorType,,,,,,,,,http://purl.org/datacite/v4.4/ContributorType,,,http://purl.org/datacite/v4.4,,RightsHolder,
http://purl.org/datacite/v4.4/Collected,Collected,,,false,,,http://purl.org/datacite/v4.4/DateType,,,,,,,,,http://purl.org/datacite/v4.4/DateType,,,http://purl.org/datacite/v4.4,,Collected,
http://purl.org/datacite/v4.4/PURL,PURL,,,false,,,http://purl.org/datacite/v4.4/RelatedIdentifierType,,,,,,,,,http://purl.org/datacite/v4.4/RelatedIdentifierType,,,http://purl.org/datacite/v4.4,,PURL,
http://purl.org/datacite/v4.4/DateType,Date Type,,,false,,,,,,,,,,,,,,,http://purl.org/datacite/v4.4,http://purl.org/datacite/v4.4/Collected|http://purl.org/datacite/v4.4/Withdrawn|http://purl.org/datacite/v4.4/Updated|http://purl.org/datacite/v4.4/Issued|http://purl.org/datacite/v4.4/Created|http://purl.org/datacite/v4.4/Submitted|http://purl.org/datacite/v4.4/Accepted|http://purl.org/datacite/v4.4/Valid|http://purl.org/datacite/v4.4/AvailableCopyrighted|http://purl.org/datacite/v4.4/Description|http://purl.org/datacite/v4.4/OtherDescriptionType,Date Type,http://purl.org/datacite/v4.4
http://purl.org/datacite/v4.4/Subtitle,Subtitle,,,false,,,http://purl.org/datacite/v4.4/TitleType,,,,,,,,,http://purl.org/datacite/v4.4/TitleType,,,http://purl.org/datacite/v4.4,,Subtitle,
http://purl.org/datacite/v4.4/ISBN,ISBN,,,false,,,http://purl.org/datacite/v4.4/RelatedIdentifierType,,,,,,,,,http://purl.org/datacite/v4.4/RelatedIdentifierType,,,http://purl.org/datacite/v4.4,,ISBN,
http://purl.org/datacite/v4.4/Supervisor,Supervisor,,,false,,,http://purl.org/datacite/v4.4/ContributorType,,,,,,,,,http://purl.org/datacite/v4.4/ContributorType,,,http://purl.org/datacite/v4.4,,Supervisor,
http://purl.org/datacite/v4.4/IGSN,IGSN,,,false,,,http://purl.org/datacite/v4.4/RelatedIdentifierType,,,,,,,,,http://purl.org/datacite/v4.4/RelatedIdentifierType,,,http://purl.org/datacite/v4.4,,IGSN,
http://purl.org/datacite/v4.4/InteractiveResource,InteractiveResource,,,false,,,http://purl.org/datacite/v4.4/ResourceTypeGeneral,,,,,,,,,http://purl.org/datacite/v4.4/ResourceTypeGeneral,,,http://purl.org/datacite/v4.4,,InteractiveResource,
http://purl.org/datacite/v4.4/WorkPackageLeader,WorkPackageLeader,,,false,,,http://purl.org/datacite/v4.4/ContributorType,,,,,,,,,http://purl.org/datacite/v4.4/ContributorType,,,http://purl.org/datacite/v4.4,,WorkPackageLeader,
http://purl.org/datacite/v4.4/IsCitedBy,IsCitedBy,,,false,,,http://purl.org/datacite/v4.4/RelationType,,,,,,,,,http://purl.org/datacite/v4.4/RelationType,,,http://purl.org/datacite/v4.4,,IsCitedBy,
http://purl.org/datacite/v4.4/URL,URL,,,false,,,http://purl.org/datacite/v4.4/RelatedIdentifierType,,,,,,,,,http://purl.org/datacite/v4.4/RelatedIdentifierType,,,http://purl.org/datacite/v4.4,,URL,
http://purl.org/datacite/v4.4/BookChapter,BookChapter,,,false,,,http://purl.org/datacite/v4.4/ResourceTypeGeneral,,,,,,,,,http://purl.org/datacite/v4.4/ResourceTypeGeneral,,,http://purl.org/datacite/v4.4,,BookChapter,
http://purl.org/datacite/v4.4/Model,Model,,,false,,,http://purl.org/datacite/v4.4/ResourceTypeGeneral,,,,,,,,,http://purl.org/datacite/v4.4/ResourceTypeGeneral,,,http://purl.org/datacite/v4.4,,Model,
http://purl.org/datacite/v4.4/IsPreviousVersionOf,IsPreviousVersion Of,,,false,,,http://purl.org/datacite/v4.4/RelationType,,,,,,,,,http://purl.org/datacite/v4.4/RelationType,,,http://purl.org/datacite/v4.4,,IsPreviousVersion Of,
http://purl.org/datacite/v4.4/Methods,Methods,,,false,,,http://purl.org/datacite/v4.4/DescriptionType,,,,,,,,,http://purl.org/datacite/v4.4/DescriptionType,,,http://purl.org/datacite/v4.4,,Methods,
http://purl.org/datacite/v4.4/ResourceCreatorType,Resource Creator Type,,,false,,,,,,,,,,,,,,,http://purl.org/datacite/v4.4,http://purl.org/datacite/v4.4/Organization|http://purl.org/datacite/v4.4/Person,Resource Creator Type,http://purl.org/datacite/v4.4
http://purl.org/datacite/v4.4/IsCompiledBy,IsCompiledBy,,,false,,,http://purl.org/datacite/v4.4/RelationType,,,,,,,,,http://purl.org/datacite/v4.4/RelationType,,,http://purl.org/datacite/v4.4,,IsCompiledBy,
http://purl.org/datacite/v4.4/Cites,Cites,,,false,,,http://purl.org/datacite/v4.4/RelationType,,,,,,,,,http://purl.org/datacite/v4.4/RelationType,,,http://purl.org/datacite/v4.4,,Cites,
http://purl.org/datacite/v4.4/Standard,Standard,,,false,,,http://purl.org/datacite/v4.4/ResourceTypeGeneral,,,,,,,,,http://purl.org/datacite/v4.4/ResourceTypeGeneral,,,http://purl.org/datacite/v4.4,,Standard,
http://purl.org/datacite/v4.4/Dataset,Dataset,,,false,,,http://purl.org/datacite/v4.4/ResourceTypeGeneral,,,,,,,,,http://purl.org/datacite/v4.4/ResourceTypeGeneral,,,http://purl.org/datacite/v4.4,,Dataset,
http://purl.org/datacite/v4.4/DataCollector,DataCollector,,,false,,,http://purl.org/datacite/v4.4/ContributorType,,,,,,,,,http://purl.org/datacite/v4.4/ContributorType,,,http://purl.org/datacite/v4.4,,DataCollector,
http://purl.org/datacite/v4.4/Dissertation,Dissertation,,,false,,,http://purl.org/datacite/v4.4/ResourceTypeGeneral,,,,,,,,,http://purl.org/datacite/v4.4/ResourceTypeGeneral,,,http://purl.org/datacite/v4.4,,Dissertation,
http://purl.org/datacite/v4.4/Withdrawn,Withdrawn,,,false,,,http://purl.org/datacite/v4.4/DateType,,,,,,,,,http://purl.org/datacite/v4.4/DateType,,,http://purl.org/datacite/v4.4,,Withdrawn,
http://purl.org/datacite/v4.4/ProjectLeader,ProjectLeader,,,false,,,http://purl.org/datacite/v4.4/ContributorType,,,,,,,,,http://purl.org/datacite/v4.4/ContributorType,,,http://purl.org/datacite/v4.4,,ProjectLeader,
http://purl.org/datacite/v4.4/OutputManagementPlan,OutputManagementPlan,,,false,,,http://purl.org/datacite/v4.4/ResourceTypeGeneral,,,,,,,,,http://purl.org/datacite/v4.4/ResourceTypeGeneral,,,http://purl.org/datacite/v4.4,,OutputManagementPlan,
http://purl.org/datacite/v4.4/IsNewVersionOf,IsNewVersionOf,,,false,,,http://purl.org/datacite/v4.4/RelationType,,,,,,,,,http://purl.org/datacite/v4.4/RelationType,,,http://purl.org/datacite/v4.4,,IsNewVersionOf,
http://purl.org/datacite/v4.4/RelatedPerson,RelatedPerson,,,false,,,http://purl.org/datacite/v4.4/ContributorType,,,,,,,,,http://purl.org/datacite/v4.4/ContributorType,,,http://purl.org/datacite/v4.4,,RelatedPerson,
http://purl.org/datacite/v4.4/,v4.4,,,false,,,,,,,,,,,,,,,http://purl.org/datacite/v4.4,,,http://purl.org/datacite/v4.4
http://purl.org/datacite/v4.4/IsVersionOf,IsVersionOf,,,false,,,http://purl.org/datacite/v4.4/RelationType,,,,,,,,,http://purl.org/datacite/v4.4/RelationType,,,http://purl.org/datacite/v4.4,,IsVersionOf,
http://purl.org/datacite/v4.4/IsOriginalFormOf,IsOriginalFormOf,,,false,,,http://purl.org/datacite/v4.4/RelationType,,,,,,,,,http://purl.org/datacite/v4.4/RelationType,,,http://purl.org/datacite/v4.4,,IsOriginalFormOf,
http://purl.org/datacite/v4.4/Event,Event,,,false,,,http://purl.org/datacite/v4.4/ResourceTypeGeneral,,,,,,,,,http://purl.org/datacite/v4.4/ResourceTypeGeneral,,,http://purl.org/datacite/v4.4,,Event,
http://purl.org/datacite/v4.4/Obsoletes,Obsoletes,,,false,,,http://purl.org/datacite/v4.4/RelationType,,,,,,,,,http://purl.org/datacite/v4.4/RelationType,,,http://purl.org/datacite/v4.4,,Obsoletes,
http://purl.org/datacite/v4.4/ContactPerson,ContactPerson,,,false,,,http://purl.org/datacite/v4.4/ContributorType,,,,,,,,,http://purl.org/datacite/v4.4/ContributorType,,,http://purl.org/datacite/v4.4,,ContactPerson,
http://purl.org/datacite/v4.4/RelationType,Relation Type,,,false,,,,,,,,,,,,,,,http://purl.org/datacite/v4.4,http://purl.org/datacite/v4.4/Describes|http://purl.org/datacite/v4.4/Compiles|http://purl.org/datacite/v4.4/IsCitedBy|http://purl.org/datacite/v4.4/IsPreviousVersionOf|http://purl.org/datacite/v4.4/IsCompiledBy|http://purl.org/datacite/v4.4/Cites|http://purl.org/datacite/v4.4/IsNewVersionOf|http://purl.org/datacite/v4.4/IsVersionOf|http://purl.org/datacite/v4.4/IsOriginalFormOf|http://purl.org/datacite/v4.4/Obsoletes|http://purl.org/datacite/v4.4/HasVersion|http://purl.org/datacite/v4.4/IsDescribedBy|http://purl.org/datacite/v4.4/IsRequiredBy|http://purl.org/datacite/v4.4/Requires|http://purl.org/datacite/v4.4/IsPartOf|http://purl.org/datacite/v4.4/IsIdenticalTo|http://purl.org/datacite/v4.4/IsReviewedBy|http://purl.org/datacite/v4.4/IsContinuedBy|http://purl.org/datacite/v4.4/IsDocumentedBy|http://purl.org/datacite/v4.4/Documents|http://purl.org/datacite/v4.4/References|http://purl.org/datacite/v4.4/Reviews|http://purl.org/datacite/v4.4/IsReferencedBy|http://purl.org/datacite/v4.4/IsPublishedIn|http://purl.org/datacite/v4.4/IsDerivedFrom|http://purl.org/datacite/v4.4/IsSupplementTo|http://purl.org/datacite/v4.4/HasPart|http://purl.org/datacite/v4.4/IsSourceOf|http://purl.org/datacite/v4.4/IsSupplementedBy|http://purl.org/datacite/v4.4/IsMetadataFor|http://purl.org/datacite/v4.4/HasMetadata|http://purl.org/datacite/v4.4/IsVariantFormOf|http://purl.org/datacite/v4.4/Continues,Relation Type,http://purl.org/datacite/v4.4
http://purl.org/datacite/v4.4/Updated,Updated,,,false,,,http://purl.org/datacite/v4.4/DateType,,,,,,,,,http://purl.org/datacite/v4.4/DateType,,,http://purl.org/datacite/v4.4,,Updated,
http://purl.org/datacite/v4.4/HasVersion,HasVersion,,,false,,,http://purl.org/datacite/v4.4/RelationType,,,,,,,,,http://purl.org/datacite/v4.4/RelationType,,,http://purl.org/datacite/v4.4,,HasVersion,
http://purl.org/datacite/v4.4/PeerReview,PeerReview,,,false,,,http://purl.org/datacite/v4.4/ResourceTypeGeneral,,,,,,,,,http://purl.org/datacite/v4.4/ResourceTypeGeneral,,,http://purl.org/datacite/v4.4,,PeerReview,
http://purl.org/datacite/v4.4/Journal,Journal,,,false,,,http://purl.org/datacite/v4.4/ResourceTypeGeneral,,,,,,,,,http://purl.org/datacite/v4.4/ResourceTypeGeneral,,,http://purl.org/datacite/v4.4,,Journal,
http://purl.org/datacite/v4.4/ResearchGroup,ResearchGroup,,,false,,,http://purl.org/datacite/v4.4/ContributorType,,,,,,,,,http://purl.org/datacite/v4.4/ContributorType,,,http://purl.org/datacite/v4.4,,ResearchGroup,
http://purl.org/datacite/v4.4/ARK,ARK,,,false,,,http://purl.org/datacite/v4.4/RelatedIdentifierType,,,,,,,,,http://purl.org/datacite/v4.4/RelatedIdentifierType,,,http://purl.org/datacite/v4.4,,ARK,
http://purl.org/datacite/v4.4/Other,Other,,,false,,,http://purl.org/datacite/v4.4/ResourceTypeGeneral,,,,,,,,,http://purl.org/datacite/v4.4/ResourceTypeGeneral,,,http://purl.org/datacite/v4.4,,Other,
http://purl.org/datacite/v4.4/TechnicalInfo,TechnicalInfo,,,false,,,http://purl.org/datacite/v4.4/DescriptionType,,,,,,,,,http://purl.org/datacite/v4.4/DescriptionType,,,http://purl.org/datacite/v4.4,,TechnicalInfo,
http://purl.org/datacite/v4.4/IsDescribedBy,IsDescribedBy,,,false,,,http://purl.org/datacite/v4.4/RelationType,,,,,,,,,http://purl.org/datacite/v4.4/RelationType,,,http://purl.org/datacite/v4.4,,IsDescribedBy,
http://purl.org/datacite/v4.4/ISSN,ISSN,,,false,,,http://purl.org/datacite/v4.4/RelatedIdentifierType,,,,,,,,,http://purl.org/datacite/v4.4/RelatedIdentifierType,,,http://purl.org/datacite/v4.4,,ISSN,
http://purl.org/datacite/v4.4/IsRequiredBy,IsRequiredBy,,,false,,,http://purl.org/datacite/v4.4/RelationType,,,,,,,,,http://purl.org/datacite/v4.4/RelationType,,,http://purl.org/datacite/v4.4,,IsRequiredBy,
http://purl.org/datacite/v4.4/URN,URN,,,false,,,http://purl.org/datacite/v4.4/RelatedIdentifierType,,,,,,,,,http://purl.org/datacite/v4.4/RelatedIdentifierType,,,http://purl.org/datacite/v4.4,,URN,
http://purl.org/datacite/v4.4/PMID,PMID,,,false,,,http://purl.org/datacite/v4.4/RelatedIdentifierType,,,,,,,,,http://purl.org/datacite/v4.4/RelatedIdentifierType,,,http://purl.org/datacite/v4.4,,PMID,
http://purl.org/datacite/v4.4/Requires,Requires,,,false,,,http://purl.org/datacite/v4.4/RelationType,,,,,,,,,http://purl.org/datacite/v4.4/RelationType,,,http://purl.org/datacite/v4.4,,Requires,
http://purl.org/datacite/v4.4/DataCurator,DataCurator,,,false,,,http://purl.org/datacite/v4.4/ContributorType,,,,,,,,,http://purl.org/datacite/v4.4/ContributorType,,,http://purl.org/datacite/v4.4,,DataCurator,
http://purl.org/datacite/v4.4/ProjectMember,ProjectMember,,,false,,,http://purl.org/datacite/v4.4/ContributorType,,,,,,,,,http://purl.org/datacite/v4.4/ContributorType,,,http://purl.org/datacite/v4.4,,ProjectMember,
http://purl.org/datacite/v4.4/Handle,Handle,,,false,,,http://purl.org/datacite/v4.4/RelatedIdentifierType,,,,,,,,,http://purl.org/datacite/v4.4/RelatedIdentifierType,,,http://purl.org/datacite/v4.4,,Handle,
http://purl.org/datacite/v4.4/DataManager,DataManager,,,false,,,http://purl.org/datacite/v4.4/ContributorType,,,,,,,,,http://purl.org/datacite/v4.4/ContributorType,,,http://purl.org/datacite/v4.4,,DataManager,
